_id,Gouvernorat,Délégation,Nombre de pharmacies
150,MEDENINE,MEDENINE SUD,5
151,MEDENINE,SIDI MAKHLOUF,2
152,MEDENINE,ZARZIS,17
153,MONASTIR,BEKALTA,3
154,MONASTIR,BEMBLA,4
155,MONASTIR,BENI HASSEN,2
156,MONASTIR,JEMMAL,12
157,MONASTIR,KSAR HELLAL,11
158,MONASTIR,KSIBET MEDIOUNI,5
159,MONASTIR,MOKNINE,15
160,MONASTIR,MONASTIR,30
161,MONASTIR,OUERDANINE,3
162,MONASTIR,SAHLINE,8
163,MONASTIR,SAYADA LAMTA BOUHJAR,3
164,MONASTIR,TEBOULBA,7
165,MONASTIR,ZERAMDINE,3
166,NABEUL,BENI KHALLED,8
167,NABEUL,BENI KHIAR,8
168,NABEUL,BOUARGOUB,4
169,NABEUL,DAR CHAABANE FEHRI,10
170,NABEUL,EL HAOUARIA,5
171,NABEUL,EL MIDA,4
172,NABEUL,GROMBALIA,15
173,NABEUL,HAMMAM GHEZAZ,2
174,NABEUL,HAMMAMET,32
175,NABEUL,KELIBIA,12
176,NABEUL,KORBA,11
177,NABEUL,MENZEL BOUZELFA,7
178,NABEUL,MENZEL TEMIME,12
179,NABEUL,NABEUL,23
180,NABEUL,SLIMENE,11
181,NABEUL,TAKELSA,3
182,SFAX,AGAREB,4
183,SFAX,BIR ALI BEN KHALIFA,5
184,SFAX,COMMUNE SAKIET EDDAYER,14
185,SFAX,COMMUNE SFAX,80
186,SFAX,EL AMRA,3
187,SFAX,EL HANCHA,4
188,SFAX,GHRIBA,1
189,SFAX,JEBENIANA,6
190,SFAX,KERKENNAH,2
191,SFAX,MAHRES,5
192,SFAX,MENZEL CHAKER,3
193,SFAX,SAKIET EZZIT,25
194,SFAX,SFAX SUD,32
195,SFAX,SKHIRA,4
196,SFAX,THYNA,10
197,SIDI BOUZID,BIR EL HFAY,3
198,SIDI BOUZID,CEBALET OULED ASKER,2
199,SIDI BOUZID,ESSAIDA,2
200,SIDI BOUZID,HICHRIA,1
201,SIDI BOUZID,JELMA,4
202,SIDI BOUZID,MEKNASSY,2
203,SIDI BOUZID,MENZEL BOUZAIANE,2
204,SIDI BOUZID,MEZZOUNA,2
205,SIDI BOUZID,OULED HAFFOUZ,2
206,SIDI BOUZID,REGUEB,4
207,SIDI BOUZID,SIDI ALI BEN AOUN,2
208,SIDI BOUZID,SIDI BOUZID EST,4
209,SIDI BOUZID,SIDI BOUZID OUEST,12
210,SIDI BOUZID,SOUK JEDID,1
211,SILIANA,BARGOU,1
212,SILIANA,BOUARADA,2
213,SILIANA,BOUROUIS,1
214,SILIANA,EL AROUSSA,1
215,SILIANA,GAAFOUR,2
216,SILIANA,KESRA,1
217,SILIANA,KRIB,2
218,SILIANA,MAKTHAR,3
219,SILIANA,ROUHIA,2
220,SILIANA,SILIANA NORD,5
221,SILIANA,SILIANA SUD,3
222,SOUSSE,AKOUDA,8
223,SOUSSE,BOUFICHA,3
224,SOUSSE,COMMUNE EZZOUHOUR,5
225,SOUSSE,COMMUNE KSIBA THRAYET,4
226,SOUSSE,COMMUNE SOUSSE,59
227,SOUSSE,COMMUNE ZAOUIET SOUSSE,7
228,SOUSSE,ENFIDHA,7
229,SOUSSE,HAMMAM SOUSSE,12
230,SOUSSE,HERGLA,1
231,SOUSSE,KALAA KEBIRA,8
232,SOUSSE,KALAA SGHIRA,5
233,SOUSSE,KONDAR,2
234,SOUSSE,M'SAKEN,16
235,SOUSSE,SIDI BOU ALI,2
236,SOUSSE,SIDI EL HANI,1
237,TATAOUINE,BENI MHIRA,1
238,TATAOUINE,BIR LAHMAR,1
239,TATAOUINE,DHEHIBA,1
240,TATAOUINE,GHOMRASSEN,3
241,TATAOUINE,REMADA,1
242,TATAOUINE,SMAR,1
243,TATAOUINE,TATAOUINE NORD,4
244,TATAOUINE,TATAOUINE SUD,9
245,TOZEUR,DEGUECHE,2
246,TOZEUR,HAMET JRID,1
247,TOZEUR,HAZOUA,1
248,TOZEUR,NEFTA,3
249,TOZEUR,TAMAGHZA,1
250,TOZEUR,TOZEUR,6
251,TUNIS,CARTHAGE,6
252,TUNIS,COMMUNE SIDI HESSINE,16
253,TUNIS,COMMUNE TUNIS,183
254,TUNIS,LA GOULETTE,14
255,TUNIS,LA MARSA,27
256,TUNIS,LE BARDO,20
257,TUNIS,LE KRAM (ANCIEN EL BHIRA),22
258,ZAGHOUAN,BIR MCHARGUA,2
259,ZAGHOUAN,EL FAHS,7
260,ZAGHOUAN,NADHOUR,4
261,ZAGHOUAN,SAOUAF,1
262,ZAGHOUAN,ZAGHOUAN,8
263,ZAGHOUAN,ZRIBA,3
